Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_187,3,12.66666667,120.6666667,11849.4,1626.333333,1178.333333,0.71117,158180.3333,1139114,0.155245,99494,21.9403,12.70163333,133.5133333,17654.06667,10116666.67,792745.3333,47.66666667,1964.151,0.234666667,51.58686667,0.243929333,0.319625333,0.436445333,0.133058467,0.269420333,0.597521
160_271_41,3,11,68.66666667,11061.26667,2056,897.3333333,0.4376,192589.3333,1033709.667,0.185426667,140993.6667,27.75906667,12.71403333,183.3243333,17476.93333,18966666.67,955757,28,1982.203333,0.187,61.48433333,0.156825667,0.191913,0.651261,0.0653308,0.288635333,0.646034
160_271_411,2.666666667,10,74,8459.163333,1762.333333,758.6666667,0.437390333,132523.3333,907513.6667,0.147025,111288.6667,20.7598,12.74086667,112.5751667,14271.36667,6000000,547419.3333,18,3869.65,0.195333333,60.8175,0.147805333,0.240782333,0.611412667,0.0742732,0.274631333,0.651095333
160_271_306,3.333333333,16.66666667,168.3333333,13262.58667,1343.666667,876,0.687981,182081,686818.6667,0.266282333,137378.3333,26.29076667,12.754,177.9366667,16942.46667,19533333.33,1085003.667,86.66666667,710.6273333,0.193,49.29733333,0.301889333,0.261064333,0.437046667,0.137410667,0.274159333,0.58843
160_271_361,3.333333333,12.33333333,145,14457.76667,2375.333333,995,0.41716,200406.6667,1353333.333,0.155977333,168224,18.82806667,12.78003333,136.0713333,23280.63333,9733333.333,868199.6667,43,2281.26,0.257333333,62.87746667,0.147271333,0.188388333,0.664340333,0.127918067,0.264966667,0.607115
160_271_56,2.333333333,16.33333333,227.3333333,23131.66667,2486,1244,0.502639333,321162,1846666.667,0.180913,252349.3333,24.11383333,12.90486667,192.4153333,32198.33333,32166666.67,1773333.333,133,2678.156,0.319666667,52.58323333,0.239487667,0.287852667,0.472659667,0.135226333,0.256892667,0.607880667
160_271_115,2.666666667,16.33333333,273,18603.76667,2281.333333,614.6666667,0.282242667,230943,841652.3333,0.273101,184811.3333,19.5146,12.91003333,125.671,24725.66667,12596666.67,1148806.667,130,1507.716667,0.205666667,55.86806667,0.217047667,0.243310667,0.539641667,0.125481,0.271337667,0.603181333
160_271_332,3.666666667,16,321.6666667,17970.04333,1624.666667,980,0.626242,222625,987243.6667,0.229139667,199003.3333,21.75526667,12.9574,174.7883333,23814.76667,16066666.67,1181092,113,1342.651,0.224333333,52.3351,0.231900333,0.297656333,0.470443333,0.1309512,0.260886667,0.608162
160_271_415,2,10.66666667,127,9867.98,2039.333333,1064.666667,0.569999,122921,1230000,0.099182,96414,18.64526667,12.9708,119.804,15869.4,5563333.333,550038.6667,25,576.628,0.227333333,57.27106667,0.171662333,0.287160333,0.541177,0.150099333,0.252664,0.597236667
160_271_309,2.666666667,10.66666667,126.3333333,12455.09333,1861,993.3333333,0.534633333,170619,1074794.333,0.157051,140362,22.23753333,12.9708,125.3731667,18469.28667,10026666.67,795372.6667,68.66666667,4542.260333,0.231333333,57.95226667,0.170077,0.259818,0.570105,0.119356,0.241120333,0.639523
160_271_13,3,14,145,14380.93333,2057.333333,837.6666667,0.406383667,214982.3333,1048102.667,0.214278333,142826.6667,25.76263333,13.1388,172.214,20472.66667,21466666.67,1187175.333,58.33333333,1493.593,0.201333333,55.3446,0.221404,0.25019,0.528406333,0.124071367,0.254275,0.621653667
160_271_1,1.333333333,7.666666667,72,6027.346667,1942.666667,642.3333333,0.337494,114327.6667,608124,0.186775,61243.66667,27.2687,13.22063333,131.056,9361.18,8766666.667,521791,15.66666667,1061.477667,0.149666667,58.22263333,0.184487667,0.236488333,0.579023667,0.1186536,0.274584,0.606762333
160_271_377,1.666666667,13.33333333,136.3333333,10983.75333,1923.333333,966,0.513854333,191755.6667,1020773,0.189964667,97849,27.0182,13.2515,155.133,15910.86667,16166666.67,923956,43.33333333,1439.919667,0.225333333,55.3085,0.192006667,0.313554,0.494439667,0.115248667,0.255652,0.629099333
160_271_64,2.166666667,16.33333333,243.6666667,17588.3,2235,1332,0.617068667,256365.6667,1706666.667,0.150317,198020.3333,23.8492,13.2515,181.0046667,25024.43333,22366666.67,1333333.333,72.66666667,1072.365667,0.293666667,50.90043333,0.239593,0.331142667,0.429264333,0.128683333,0.249926,0.621391
160_271_384,1.333333333,6.666666667,58,4763.99,1554,474.3333333,0.307065333,79667.66667,460048,0.177648,74328.66667,26.10903333,13.40253333,128.2563333,7221.803333,5740000,396480.6667,9.333333333,3195.42,0.138,56.03096667,0.227770667,0.234466667,0.537762667,0.115832267,0.258267,0.625900667
